Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1491944400.0 136.7321 NA 203 470 0 NA NA NA NA 296 564 0 NA NA NA NA 1658 5028 507 NA NA NA NA 616 1685 514 NA NA NA
1491944400.0 136.733 NA 182 74 0 NA NA NA NA 268 123 0 NA NA NA NA 860 264 120 NA NA NA NA 591 179 130 NA NA NA
1491944400.0 136.734 NA 203 454 0 NA NA NA NA 304 538 0 NA NA NA NA 3296 7433 573 NA NA NA NA 1719 2448 580 NA NA NA
1491944400.0 136.736 NA 218 444 0 NA NA NA NA 316 569 0 NA NA NA NA 4869 12784 578 NA NA NA NA 1557 4325 586 NA NA NA
1491944400.0 136.737 NA 221 469 0 NA NA NA NA 322 593 0 NA NA NA NA 8654 18361 560 NA NA NA NA 3704 6925 573 NA NA NA
1491944400.0 136.738 NA 203 459 0 NA NA NA NA 320 564 0 NA NA NA NA 6423 14159 585 NA NA NA NA 1928 4332 603 NA NA NA
1491944400.0 136.739 NA 212 480 0 NA NA NA NA 319 580 0 NA NA NA NA 8527 16331 643 NA NA NA NA 2600 4913 653 NA NA NA
1491944400.0 136.74 NA 213 480 0 NA NA NA NA 331 596 0 NA NA NA NA 7815 17483 938 NA NA NA NA 2461 6427 1196 NA NA NA
1491944400.0 136.741 NA 209 465 0 NA NA NA NA 323 567 0 NA NA NA NA 8359 17684 676 NA NA NA NA 2494 5261 691 NA NA NA
1491944400.0 136.742 NA 203 464 0 NA NA NA NA 314 561 0 NA NA NA NA 7115 17965 565 NA NA NA NA 2837 6671 574 NA NA NA
1491944400.0 136.743 NA 202 461 0 NA NA NA NA 311 558 0 NA NA NA NA 7184 17040 607 NA NA NA NA 2879 6712 613 NA NA NA
1491944400.0 136.744 NA 216 465 0 NA NA NA NA 322 573 0 NA NA NA NA 7842 16561 565 NA NA NA NA 2438 5169 573 NA NA NA
1491944400.0 136.745 NA 200 447 0 NA NA NA NA 302 547 0 NA NA NA NA 3462 9727 617 NA NA NA NA 1104 3215 626 NA NA NA
1491944400.0 136.746 NA 215 459 0 NA NA NA NA 321 562 0 NA NA NA NA 8104 17287 607 NA NA NA NA 3673 6590 617 NA NA NA
1491944400.0 136.747 NA 203 464 0 NA NA NA NA 322 565 0 NA NA NA NA 6736 16958 619 NA NA NA NA 2657 6586 627 NA NA NA
1491944400.0 136.748 NA 209 476 0 NA NA NA NA 322 579 0 NA NA NA NA 7263 17095 613 NA NA NA NA 2745 6690 623 NA NA NA
1491944400.0 136.749 NA 213 461 0 NA NA NA NA 323 568 0 NA NA NA NA 7890 18427 698 NA NA NA NA 2406 5587 707 NA NA NA
1491944400.0 136.75 NA 217 477 0 NA NA NA NA 330 580 0 NA NA NA NA 10991 19074 824 NA NA NA NA 3314 5756 904 NA NA NA
