Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1491944400.0 21234.0 63 173 230 0 NA NA NA NA 193 336 449 0 NA NA NA NA 10670 2419 1587 789 NA NA NA NA 11649 4198 1732 855 NA NA NA NA
1491944400.0 21234.1 65 175 172 0 NA NA NA NA 193 336 345 0 NA NA NA NA 5275 1669 749 302 NA NA NA NA 5548 1954 1348 309 NA NA NA NA
1491944400.0 21246.0 62 172 228 0 NA NA NA NA 192 335 447 0 NA NA NA NA 9802 2400 1524 775 NA NA NA NA 10673 2980 1719 827 NA NA NA NA
1491944400.0 21253.0 67 174 231 0 NA NA NA NA 195 336 452 0 NA NA NA NA 9536 1880 1235 516 NA NA NA NA 9850 2225 1802 781 NA NA NA NA
1491944400.0 23.0 NA 83 189 0 NA NA NA NA NA 241 406 0 NA NA NA NA NA 2094 1822 542 NA NA NA NA NA 2287 1991 594 NA NA NA NA
1491944400.0 23221.0 64 182 224 0 NA NA NA NA 184 341 444 0 NA NA NA NA 1761 2407 2159 663 NA NA NA NA 2149 2891 2616 696 NA NA NA NA
1491944400.0 23234.0 71 184 235 0 NA NA NA NA 199 344 451 0 NA NA NA NA 5386 1649 920 468 NA NA NA NA 5658 2002 1482 477 NA NA NA NA
1491944400.0 23246.0 65 181 229 0 NA NA NA NA 195 344 449 0 NA NA NA NA 9849 2351 1552 773 NA NA NA NA 10681 3005 1748 835 NA NA NA NA
1491944400.0 23653.0 54 96 190 0 NA NA NA NA 184 246 395 0 NA NA NA NA 4742 437 810 220 NA NA NA NA 5069 529 907 233 NA NA NA NA
1491944400.0 24034.0 65 173 231 0 NA NA NA NA 193 336 450 0 NA NA NA NA 10798 2409 1576 804 NA NA NA NA 11744 4153 1744 874 NA NA NA NA
1491944400.0 24434.0 64 173 230 0 NA NA NA NA 193 336 449 0 NA NA NA NA 10858 2386 1587 788 NA NA NA NA 11847 4149 1757 831 NA NA NA NA
1491944400.0 24834.0 64 176 232 0 NA NA NA NA 193 338 449 0 NA NA NA NA 10715 2472 1491 793 NA NA NA NA 11685 4246 1637 838 NA NA NA NA
1491944400.0 250199.0 136 NA NA NA NA NA NA NA 312 NA NA NA NA NA NA NA 4248 NA NA NA NA NA NA NA 5462 NA NA NA NA NA NA NA
1491944400.0 250200.0 NA 211 279 0 NA NA NA NA NA 448 523 0 NA NA NA NA NA 10063 1977 901 NA NA NA NA NA 11421 2702 917 NA NA NA NA
1491944400.0 250200.1 58 188 181 NA NA NA NA NA 185 400 367 NA NA NA NA NA 4619 2442 2268 NA NA NA NA NA 4871 3730 2829 NA NA NA NA NA
1491944400.0 250202.0 NA 227 282 0 NA NA NA NA NA 444 530 0 NA NA NA NA NA 11872 2557 940 NA NA NA NA NA 12910 3498 965 NA NA NA NA
1491944400.0 250203.0 NA 209 279 0 NA NA NA NA NA 436 520 0 NA NA NA NA NA 13411 2559 1350 NA NA NA NA NA 15500 2817 1453 NA NA NA NA
1491944400.0 25200.0 NA 199 326 0 NA NA NA NA NA 418 585 0 NA NA NA NA NA 2968 3141 1413 NA NA NA NA NA 6413 4938 1515 NA NA NA NA
1491944400.0 25202.0 NA 199 326 0 NA NA NA NA NA 420 598 0 NA NA NA NA NA 2152 2472 828 NA NA NA NA NA 2518 2755 1296 NA NA NA NA
1491944400.0 25203.0 NA 194 324 0 NA NA NA NA NA 421 589 0 NA NA NA NA NA 3442 3533 1339 NA NA NA NA NA 6931 4539 1468 NA NA NA NA
1491944400.0 25204.0 NA 200 327 0 NA NA NA NA NA 420 588 0 NA NA NA NA NA 3139 3840 1165 NA NA NA NA NA 4060 4381 1925 NA NA NA NA
1491944400.0 25205.0 NA 192 319 0 NA NA NA NA NA 414 585 0 NA NA NA NA NA 2663 3112 1312 NA NA NA NA NA 3118 3521 1410 NA NA NA NA
1491944400.0 25207.0 NA 191 336 0 NA NA NA NA NA 411 579 0 NA NA NA NA NA 2557 2994 1347 NA NA NA NA NA 3039 3383 1470 NA NA NA NA
1491944400.0 25208.0 NA 198 320 0 NA NA NA NA NA 417 597 0 NA NA NA NA NA 2391 2828 802 NA NA NA NA NA 2690 3470 831 NA NA NA NA
1491944400.0 25209.0 NA 197 327 0 NA NA NA NA NA 420 592 0 NA NA NA NA NA 3229 3653 1165 NA NA NA NA NA 3981 4215 1922 NA NA NA NA
1491944400.0 25210.0 70 198 324 0 NA NA NA NA 242 409 567 0 NA NA NA NA 4026 1269 1567 1342 NA NA NA NA 4588 2370 2227 1987 NA NA NA NA
1491944400.0 25211.0 59 196 330 0 NA NA NA NA 241 413 594 0 NA NA NA NA 5360 3596 3855 1378 NA NA NA NA 5826 4228 4392 1463 NA NA NA NA
1491944400.0 25212.0 59 201 335 0 NA NA NA NA 241 420 599 0 NA NA NA NA 6329 3236 3741 1385 NA NA NA NA 7071 3917 4207 1469 NA NA NA NA
1491944400.0 25213.0 60 192 321 0 NA NA NA NA 241 417 585 0 NA NA NA NA 5130 2571 2694 956 NA NA NA NA 5503 5393 4159 1175 NA NA NA NA
1491944400.0 25214.0 NA 196 324 0 NA NA NA NA NA 418 599 0 NA NA NA NA NA 3270 3752 1394 NA NA NA NA NA 3924 4278 1481 NA NA NA NA
1491944400.0 26.0 NA 81 197 0 NA NA NA NA NA 241 424 0 NA NA NA NA NA 2011 1444 356 NA NA NA NA NA 2191 1540 368 NA NA NA NA
1491944400.0 28.0 NA 83 189 0 NA NA NA NA NA 241 408 0 NA NA NA NA NA 2166 2409 522 NA NA NA NA NA 2342 2646 567 NA NA NA NA
1491944400.0 29.0 NA 83 196 0 NA NA NA NA NA 241 419 0 NA NA NA NA NA 2014 1686 467 NA NA NA NA NA 2176 1894 480 NA NA NA NA
1491944400.0 3.0 51 76 124 NA NA NA NA NA 184 227 301 NA NA NA NA NA 10002 254 747 NA NA NA NA NA 10516 323 793 NA NA NA NA NA
1491944400.0 30.0 NA 82 190 0 NA NA NA NA NA 241 407 0 NA NA NA NA NA 2062 1546 346 NA NA NA NA NA 2228 1602 353 NA NA NA NA
1491944400.0 300.0 79 169 259 0 NA NA NA NA 214 358 474 0 NA NA NA NA 3016 965 973 205 NA NA NA NA 3334 1147 1166 232 NA NA NA NA
1491944400.0 31.0 NA 81 188 0 NA NA NA NA NA 241 406 0 NA NA NA NA NA 1990 1478 501 NA NA NA NA NA 2167 1596 543 NA NA NA NA
1491944400.0 32.0 NA 83 190 0 NA NA NA NA NA 241 407 0 NA NA NA NA NA 2055 1796 513 NA NA NA NA NA 2302 1948 563 NA NA NA NA
1491944400.0 34.0 50 75 189 0 NA NA NA NA 180 229 403 0 NA NA NA NA 8895 489 852 667 NA NA NA NA 9312 622 1049 723 NA NA NA NA
1491944400.0 35.0 NA 83 189 0 NA NA NA NA NA 241 407 0 NA NA NA NA NA 2086 2065 530 NA NA NA NA NA 2221 2271 574 NA NA NA NA
